
 Writing this to a file: 16.033, 3126mm dia25mm dia
 Writing this to a file: 5.98901lbs, 
 Writing this to a file: 10.044lbs, 25mm dia  Measured: 9.85

 Writing this to a file: 7.43956lbs, 25mm dia Measured: 6.20

 Writing this to a file: 5.48352lbs, 
 Writing this to a file: 5.01099lbs, 
 Writing this to a file: 6.51648lbs, 26mm dia Measured: 4.40

 Writing this to a file: 9.84615lbs, 29mm dia Measured: 7.75

 Writing this to a file: 15.5934lbs, 23mm dia Measured: 10.20

 Writing this to a file: 12.2418lbs, 29mm dia Measured: 7.70-11.20

 Writing this to a file: 7.0989lbs, 27mm dia Measured: 5.40-8.90

 Writing this to a file: 18.3297lbs, 27mm dia

 Writing this to a file: 13.3407lbs, 28mm dia

 Writing this to a file: 13.044lbs, 
 Writing this to a file: 5.25275lbs, 
 Writing this to a file: 5.02198lbs, 
 Writing this to a file: 5.05494lbs, 
 Writing this to a file: 5.07692lbs, 
 Writing this to a file: 6.94506lbs, 
 Writing this to a file: 5.64835lbs,  

1488486191, 5.08333 lbs, 81 mm dia, left config, 
1488486295, 5.05952 lbs, 81 mm dia, left config, 
1488486607, 5.11905 lbs, 81 mm dia, left config, 
1488486936, 5.07143 lbs, 81 mm dia, left config, 
1488486977, 5.17857 lbs, 81 mm dia, left config, 
1488487345, 5.13095 lbs, 81 mm dia, left config, 
1488487935, 5.16667 lbs, 81 mm dia, left config, 
1488487969, 5.07143 lbs, 82 mm dia, left config, 
1488488003, 5.09524 lbs, 82 mm dia, left config, 
1488488404, 5.07143 lbs, 82 mm dia, left config, 
1488488698, 5.08333 lbs, 82 mm dia, left config, 
1488489081, 5.08333 lbs, 82 mm dia, left config, 
1488489113, 5.13095 lbs, 82 mm dia, left config, 
1488489287, 5.13095 lbs, 82 mm dia, left config, 
1488489415, 5.08333 lbs, 81 mm dia, left config, 
1488489448, 5.09524 lbs, 82 mm dia, left config, 
1489980285, 5.04762 lbs, 79 mm dia, left config, 
1490016408, 5.14286 lbs, 81 mm dia, left config, 
1490016475, 5.14286 lbs, 82 mm dia, left config, 
1490016475, 5.14286 lbs, 82 mm dia, left config, 
1490016543, 5.10714 lbs, 23 mm dia, left config, 
1490018960, 5.09524 lbs, 23 mm dia, left config, 
1490018993, 5.08333 lbs, 23 mm dia, left config, 
1490020738, 5.13095 lbs, 23 mm dia, left config, 
1490020768, 5.09524 lbs, 23 mm dia, left config, 
1490502099, 5.08333 lbs, 80 mm dia, left config, 
1490741358, 5.19048 lbs, 81 mm dia, left config, 
1490913319, 5.19048 lbs, 81 mm dia, left config, 
1490926994, 5.22619 lbs, 81 mm dia, right config, 
1490927705, 5.21429 lbs, 82 mm dia, right config, 
1490927763, 5.20238 lbs, 82 mm dia, right config, 
1490928478, 5.20238 lbs, 81 mm dia, right config, 
1490929825, 5.21429 lbs, 81 mm dia, right config, 
1490981187, 5.22619 lbs, 81 mm dia, left config, 
1490981296, 5.22619 lbs, 81 mm dia, left config, 
1490982348, 5.28571 lbs, 81 mm dia, right config, 
1490983139, 5.22619 lbs, 81 mm dia, right config, 
1490983991, 5.20238 lbs, 81 mm dia, right config, 
1491319638, 5.20238 lbs, 30 mm dia, right config, 
1491319676, 5.20238 lbs, 82 mm dia, right config, 
1491319722, 5.20238 lbs, 82 mm dia, right config, 
1491320379, 5.20238 lbs, 82 mm dia, right config, 
1491320474, 5.21429 lbs, 82 mm dia, right config, 
1491320507, 5.16667 lbs, 82 mm dia, right config, 
1491320542, 5.17857 lbs, 82 mm dia, right config, 
1491322099, 5.17857 lbs, 82 mm dia, right config, 
1491353211, 5.20238 lbs, 81 mm dia, right config, 
1491355421, 5.20238 lbs, 81 mm dia, right config, 
